date,zone,site,plot,pit,spp,sex,rcap,toe_num,SV_length,total_length,weight,tail,pc
7/18/89,M,WELL,B,14,UTST,J,NA,NA,22,65,NA,NA,0
7/18/89,T,EAST,B,8,UTST,J,N,233,30,70,1,W,0
7/18/89,T,EAST,B,11,UTST,J,NA,NA,NA,NA,NA,W,1
7/18/89,T,WEST,A,16,CNTI,F,N,344,75,270,16,W,1
7/21/89,C,CALI,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
7/21/89,C,CALI,A,1,UTST,J,NA,NA,NA,NA,1,W,1
7/21/89,C,GRAV,D,14,CNTI,F,N,334,80,291,22,W,1
7/21/89,C,SAND,B,8,UTST,J,NA,NA,28,NA,NA,W,0
7/21/89,C,SAND,C,13,UTST,F,N,215,50,100,8,B,0
7/21/89,G,BASN,B,10,UTST,J,NA,NA,25,62,NA,W,0
7/21/89,G,BASN,B,13,CNTE,F,N,24,45,265,18,W,0
7/21/89,G,IBPE,A,1,UTST,J,NA,NA,20,54,NA,W,0
7/21/89,G,IBPE,A,16,UTST,J,NA,NA,23,58,NA,W,0
7/21/89,G,IBPE,C,4,CNIN,J,NA,NA,NA,NA,NA,W,0
7/21/89,G,IBPE,C,10,UTST,F,N,220,46,151,4,W,0
7/21/89,G,IBPE,C,16,UTST,J,N,221,28,60,1,W,0
7/21/89,M,RABB,A,8,CNTI,M,N,335,88,260,23,B,0
7/21/89,M,RABB,A,11,UTST,F,N,222,45,114,4,W,0
7/21/89,M,RABB,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
7/21/89,M,WELL,B,7,UTST,J,NA,NA,23,56,NA,W,0
7/21/89,M,WELL,B,10,UTST,J,NA,NA,21,58,NA,W,0
7/21/89,M,WELL,B,11,UTST,J,NA,NA,20,54,NA,W,0
7/21/89,M,WELL,B,16,UTST,M,R,30,51,134,6,W,0
7/21/89,T,EAST,B,2,CNTI,F,R,322,95,300,20,W,1
7/21/89,T,EAST,B,5,CNTI,M,N,340,83,265,15,W,0
7/21/89,T,EAST,B,12,UTST,F,N,223,47,82,4,B,0
7/21/89,T,EAST,B,16,UTST,F,N,224,45,112,5,W,0
7/21/89,T,WEST,A,8,CNTE,F,R,4,70,252,12,W,0
7/21/89,T,WEST,A,9,UTST,NA,NA,NA,22,60,NA,W,0
7/21/89,T,WEST,A,10,SCUN,F,N,11,58,115,9,W,0
7/21/89,T,WEST,A,11,SCUN,F,N,10,61,160,12,W,0
7/21/89,T,WEST,A,13,CNTI,M,N,341,80,278,16,W,1
7/28/89,C,CALI,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
7/28/89,C,GRAV,D,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,1
7/28/89,C,SAND,B,12,UTST,J,NA,NA,NA,NA,NA,NA,1
7/28/89,C,SAND,C,1,UTST,J,N,235,29,80,1,W,0
7/28/89,C,SAND,C,8,UTST,J,N,234,29,78,1,W,0
7/28/89,G,BASN,B,5,UTST,J,NA,NA,23,54,NA,W,0
7/28/89,G,BASN,B,16,UTST,J,NA,240,28,72,1,W,0
7/28/89,G,IBPE,A,1,UTST,J,N,NA,30,80,1,W,0
7/28/89,G,IBPE,C,2,UTST,J,N,NA,26,68,NA,W,0
7/28/89,G,IBPE,C,3,UTST,J,N,NA,22,32,NA,B,0
7/28/89,G,IBPE,C,9,UTST,F,R,220,45,117,NA,W,0
7/28/89,G,IBPE,C,15,UTST,J,N,242,31,79,1,W,0
7/28/89,G,IBPE,C,16,UTST,F,N,241,48,124,5,W,0
7/28/89,M,RABB,A,10,UTST,M,N,244,50,140,6,W,1
7/28/89,M,RABB,A,16,CNTI,M,N,345,94,297,26,W,0
7/28/89,M,RABB,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
7/28/89,M,WELL,B,14,UTST,F,N,243,42,110,4,W,0
7/28/89,M,WELL,B,15,UTST,J,N,NA,23,56,NA,W,0
7/28/89,M,WELL,B,15,UTST,J,N,NA,24,39,NA,B,0
7/28/89,T,EAST,B,4,UTST,J,N,245,28,60,1,B,0
7/28/89,T,EAST,B,4,UTST,F,R,4,48,111,4,B,0
7/28/89,T,EAST,B,12,UTST,F,N,250,51,86,6,B,0
7/28/89,T,WEST,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
8/22/89,C,CALI,A,11,UTST,M,N,251,44,110,3,W,0
8/22/89,C,CALI,A,15,CNTI,F,N,350,85,240,21,W,1
8/22/89,C,CALI,A,15,CNTI,NA,N,NA,NA,NA,NA,NA,1
8/22/89,C,GRAV,D,12,UTST,J,NA,NA,NA,NA,NA,NA,1
8/22/89,C,SAND,B,6,CNTI,F,N,352,76,260,17,W,0
8/22/89,C,SAND,B,9,CNTI,F,N,351,80,272,17,W,0
8/22/89,C,SAND,B,15,CNTE,F,N,330,76,225,14,W,0
8/22/89,C,SAND,C,8,UTST,J,N,252,34,90,2,W,0
8/22/89,G,IBPE,A,8,UTST,F,N,254,36,90,2,W,0
8/22/89,G,IBPE,A,8,UTST,M,R,99,36,95,3,W,1
8/22/89,G,IBPE,A,10,UTST,J,NA,NA,NA,NA,NA,NA,1
8/22/89,G,IBPE,C,3,UTST,J,N,253,32,55,2,B,0
